Job 1: Waiting time = 9.746616706252098e-05 | Resolution time = 8.872197940945625e-05 | Resolution type = Policy
Job 285: Waiting time = 42.44027891615406 | Resolution time = 0.0004786006174981594 | Resolution type = None
Job 286: Waiting time = 42.4247285509482 | Resolution time = 0.00012431293725967407 | Resolution type = None
Job 287: Waiting time = 42.40195104992017 | Resolution time = 0.00013144686818122864 | Resolution type = None
Job 288: Waiting time = 42.38393886620179 | Resolution time = 0.00010346155613660812 | Resolution type = None
Job 289: Waiting time = 42.36449099006131 | Resolution time = 0.000147141981869936 | Resolution type = None
Job 290: Waiting time = 42.347064051777124 | Resolution time = 0.00012093083932995796 | Resolution type = None
Job 291: Waiting time = 42.33142987918109 | Resolution time = 0.00010779965668916702 | Resolution type = None
Job 292: Waiting time = 42.31507179513574 | Resolution time = 0.00010706065222620964 | Resolution type = None
Job 293: Waiting time = 42.294603338930756 | Resolution time = 0.00010679895058274269 | Resolution type = None
Job 294: Waiting time = 42.28094758791849 | Resolution time = 0.00010720081627368927 | Resolution type = None
Job 295: Waiting time = 42.264046562835574 | Resolution time = 3.3690594136714935e-06 | Resolution type = Policy
Job 296: Waiting time = 42.24911269592121 | Resolution time = 0.00010760780423879623 | Resolution type = None
Job 297: Waiting time = 42.23524443618953 | Resolution time = 0.00011175870895385742 | Resolution type = None
Job 298: Waiting time = 42.21764938905835 | Resolution time = 0.00010727299377322197 | Resolution type = None
Job 299: Waiting time = 42.197035133838654 | Resolution time = 0.00012493319809436798 | Resolution type = None
Job 300: Waiting time = 42.18077679909766 | Resolution time = 0.00015026703476905823 | Resolution type = None
Job 301: Waiting time = 42.158303323667496 | Resolution time = 0.0001174374483525753 | Resolution type = None
Job 302: Waiting time = 42.14179746899754 | Resolution time = 0.00011306814849376678 | Resolution type = None
Job 303: Waiting time = 42.129189289640635 | Resolution time = 0.00012141140177845955 | Resolution type = None
Job 304: Waiting time = 42.113134377636015 | Resolution time = 0.00011558365076780319 | Resolution type = None
Job 305: Waiting time = 42.101326814852655 | Resolution time = 0.00011415267363190651 | Resolution type = None
Job 306: Waiting time = 42.08342934306711 | Resolution time = 0.00011326326057314873 | Resolution type = None
Job 307: Waiting time = 42.07497933227569 | Resolution time = 0.0001389891840517521 | Resolution type = None
Job 308: Waiting time = 42.0626807147637 | Resolution time = 0.00011815642938017845 | Resolution type = None
Job 309: Waiting time = 42.05261697573587 | Resolution time = 0.0001394287683069706 | Resolution type = None
Job 310: Waiting time = 42.03486273391172 | Resolution time = 0.00010455818846821785 | Resolution type = None
Job 311: Waiting time = 42.01648109406233 | Resolution time = 0.00010094605386257172 | Resolution type = None
Job 312: Waiting time = 42.00367768201977 | Resolution time = 0.0001032678410410881 | Resolution type = None
Job 313: Waiting time = 41.98154437774792 | Resolution time = 0.00010481104254722595 | Resolution type = None
Job 314: Waiting time = 41.960798141080886 | Resolution time = 0.00010362919420003891 | Resolution type = None
Job 315: Waiting time = 41.940332144964486 | Resolution time = 0.00013295235112309456 | Resolution type = None
Job 316: Waiting time = 41.927630812861025 | Resolution time = 0.00010115839540958405 | Resolution type = None
Job 317: Waiting time = 41.9059209539555 | Resolution time = 0.00010514911264181137 | Resolution type = None
Job 318: Waiting time = 41.89071903191507 | Resolution time = 0.00010406039655208588 | Resolution type = None
Job 319: Waiting time = 41.870378957130015 | Resolution time = 0.00010579079389572144 | Resolution type = None
Job 320: Waiting time = 41.85516437003389 | Resolution time = 0.0001062280498445034 | Resolution type = None
Normal period 5 ended!

----- VACATION Started -----
Start time: 47.07512660510838
Duration: 11.172188428230584
Jobs in the system: 3206
------ VACATION ENDED ------

